,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
T1,0.0,0.11601,0.11399,0.1533,0.25238,0.29903,0.50166,0.50128,0.48392,0.493,0.7289,0.71738,0.84869,0.94272,0.84089
T2,0.11601,0.0,0.04664,0.15539000000000003,0.25447000000000003,0.30112,0.50375,0.50337,0.48601,0.49509,0.73099,0.71947,0.8507800000000001,0.94481,0.8429800000000001
T3,0.11399,0.04664,0.0,0.15337,0.25245,0.29910000000000003,0.50173,0.50135,0.48399000000000003,0.49307,0.72897,0.71745,0.8487600000000001,0.94279,0.84096
T4,0.1533,0.15539000000000003,0.15337,0.0,0.2545,0.30115000000000003,0.50378,0.5034000000000001,0.48603999999999997,0.49512,0.73102,0.7195,0.8508100000000001,0.9448399999999999,0.84301
T5,0.25238,0.25447000000000003,0.25245,0.2545,0.0,0.30659000000000003,0.50922,0.50884,0.49148000000000003,0.50056,0.73646,0.72494,0.8562500000000001,0.95028,0.84845
T6,0.29903,0.30112,0.29910000000000003,0.30115000000000003,0.30659000000000003,0.0,0.49473,0.49435,0.47699,0.48607,0.72197,0.71045,0.8417600000000001,0.93579,0.83396
T7,0.50166,0.50375,0.50173,0.50378,0.50922,0.49473,0.0,0.23108,0.26080000000000003,0.37244,0.7804,0.76888,0.90019,0.9942199999999999,0.89239
T8,0.50128,0.50337,0.50135,0.5034000000000001,0.50884,0.49435,0.23108,0.0,0.26042,0.37206,0.7800199999999999,0.7685,0.89981,0.99384,0.89201
T9,0.48392,0.48601,0.48399000000000003,0.48603999999999997,0.49148000000000003,0.47699,0.26080000000000003,0.26042,0.0,0.3547,0.7626599999999999,0.7511399999999999,0.88245,0.9764799999999999,0.8746499999999999
T10,0.493,0.49509,0.49307,0.49512,0.50056,0.48607,0.37244,0.37206,0.3547,0.0,0.7717399999999999,0.7602199999999999,0.8915299999999999,0.98556,0.8837299999999999
T11,0.7289,0.73099,0.72897,0.73102,0.73646,0.72197,0.7804,0.7800199999999999,0.7626599999999999,0.7717399999999999,0.0,0.31035999999999997,0.8944099999999999,0.98844,0.8866099999999999
T12,0.71738,0.71947,0.71745,0.7195,0.72494,0.71045,0.76888,0.7685,0.7511399999999999,0.7602199999999999,0.31035999999999997,0.0,0.88289,0.9769199999999999,0.8750899999999999
T13,0.84869,0.8507800000000001,0.8487600000000001,0.8508100000000001,0.8562500000000001,0.8417600000000001,0.90019,0.89981,0.88245,0.8915299999999999,0.8944099999999999,0.88289,0.0,0.7370099999999999,0.6351800000000001
T14,0.94272,0.94481,0.94279,0.9448399999999999,0.95028,0.93579,0.9942199999999999,0.99384,0.9764799999999999,0.98556,0.98844,0.9769199999999999,0.7370099999999999,0.0,0.58695
T15,0.84089,0.8429800000000001,0.84096,0.84301,0.84845,0.83396,0.89239,0.89201,0.8746499999999999,0.8837299999999999,0.8866099999999999,0.8750899999999999,0.6351800000000001,0.58695,0.0
